System_ID,Name,Website_Breadcrumb,Inode_Breadcrumb,Image,Website_name,Brand,Color
5a6a7e94e077d8d3ad496a81,"""Roadster Men Maroon Solid Round Neck T-shirt""",Apparel > Topwear > Tshirts,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"[""http://www.myntra.com/tshirts/roadster/roadster-men-maroon-solid-round-neck-t-shirt/2169177/buy"", ""http://developer.myntra.com/style/2169177""]",www.myntra.com,roadster,maroon
5ae9f663c097afcf35ad473f,"""Peter England Men Brown Super Slim Fit Solid Chinos""",Apparel > Bottomwear > Trousers,Home > Fashion > Apparel > Bottomwear > Trousers and Pants,"[""http://www.myntra.com/trousers/peter-england/peter-england-men-brown-super-slim-fit-solid-chinos/4656369/buy"", ""http://developer.myntra.com/style/4656369""]",www.myntra.com,peter england,brown
596b7ec5850f697472661227,"""Black coffee Men Navy Comfort Slim Fit Casual Shirt""",Apparel > Topwear > Shirts,Home > Fashion > Apparel > Topwear > Shirts,"[""http://www.myntra.com/shirts/black-coffee/black-coffee-men-navy-comfort-slim-fit-casual-shirt/1982829/buy"", ""http://developer.myntra.com/style/1982829""]",www.myntra.com,black coffee,blue
5af4535cbb9fb52c4267a21e,"""ESPRIT Men Navy Blue Relaxed Fit Self Design Regular Trousers""",Apparel > Bottomwear > Trousers,Home > Fashion > Apparel > Bottomwear > Trousers and Pants,"[""http://www.myntra.com/trousers/esprit/esprit-men-navy-blue-relaxed-fit-self-design-regular-trousers/5454493/buy"", ""http://developer.myntra.com/style/5454493""]",www.myntra.com,esprit,blue
582064e1b0701ebbcf67b44e,"""Harvard Men Black Self-Design Cardigan""",Apparel > Topwear > Sweaters,Home > Fashion > Apparel > Topwear > Cardigans,"[""http://www.myntra.com/sweaters/harvard/harvard-men-black-self-design-cardigan/1318828/buy"", ""http://developer.myntra.com/style/1318828""]",www.myntra.com,harvard,black
5887952b94e00bec8b858ce4,"""Toscee Women Navy Printed Straight Kurta""",Apparel > Topwear > Kurtas,Home > Fashion > Apparel > Ethnic Wear > Kurtas and Kurtis,"[""http://www.myntra.com/kurtas/toscee/toscee-women-navy-printed-straight-kurta/1724945/buy"", ""http://developer.myntra.com/style/1724945""]",www.myntra.com,toscee,blue
575a788f3acf81c06a1e4d7c,"""Pavechas Black Banarasi Traditional Saree""",Apparel > Saree > Sarees,Home > Fashion > Apparel > Ethnic Wear > Sari,"[""http://www.myntra.com/traditional-sari/pavechas/pavechas-black-banarasi-traditional-saree/1382128/buy"", ""http://developer.myntra.com/style/1382128"", ""http://www.myntra.com/sarees/pavechas/pavechas-black-banarasi-traditional-saree/1382128/buy""]",www.myntra.com,pavechas,black
5aef1903942a01ad619c6614,"""9rasa Women Red & White Solid Tunic with Dhoti Pants""",Apparel > Apparel Set > Clothing Set,Home > Fashion > Apparel > Topwear > Tunics,"[""http://www.myntra.com/clothing-set/9rasa/9rasa-women-red--white-solid-tunic-with-dhoti-pants/5363446/buy"", ""http://developer.myntra.com/style/5363446""]",www.myntra.com,9rasa,red
5a4a25a83605761b2ed15501,"""Maybelline New York Color Show Flaming Orange Intense Matte Nail Paint M307""",Personal Care > Nails > Nail Polish,Home > Beauty & Care > Beauty > Make Up > Nails > Nail Polish,"[""http://www.myntra.com/nail-polish/maybelline/maybelline-new-york-color-show-flaming-orange-intense-matte-nail-paint-m307/2185714/buy"", ""http://developer.myntra.com/style/2185714""]",www.myntra.com,maybelline,orange
5a6acadde077d8d3ad496d45,"""Titan Women Black Dial Watch 95036WM01J""",Accessories > Watches > Watches,Home > Fashion > Fashion Accessories > Watches,"[""http://www.myntra.com/watches/titan/titan-women-black-dial-watch-95036wm01j/1363837/buy"", ""http://developer.myntra.com/style/1363837""]",www.myntra.com,titan,black
5a3cece6d9877c30c8c94a3d,"""Get Glamr Women Tan Loafers""",Footwear > Shoes > Casual Shoes,Home > Fashion > Footwear > Slip-ons,"[""http://www.myntra.com/casual-shoes/get-glamr/get-glamr-women-tan-loafers/2348383/buy"", ""http://developer.myntra.com/style/2348383""]",www.myntra.com,get glamr,beige/sand/tan
5a89f42d452afd099f0ab86d,"""Blackberrys Men Black & Off-White Slim Fit Checked Casual Shirt""",Apparel > Topwear > Shirts,Home > Fashion > Apparel > Topwear > Shirts,"[""http://www.myntra.com/shirts/blackberrys/blackberrys-men-black--off-white-slim-fit-checked-casual-shirt/2448694/buy"", ""http://developer.myntra.com/style/2448694""]",www.myntra.com,blackberrys,black
5b22d06907f090e515b838df,"""Solly Jeans Co. by Allen Solly Men Blue Slim Fit Low-Rise Clean Look Jeans""",Apparel > Bottomwear > Jeans,Home > Fashion > Apparel > Bottomwear > Jeans,"[""http://www.myntra.com/jeans/solly-jeans-co/solly-jeans-co-by-allen-solly-men-blue-slim-fit-low-rise-clean-look-jeans/1481728/buy"", ""http://developer.myntra.com/style/1481728""]",www.myntra.com,solly jeans co.,blue
5a2c3917363e4272313f961f,"""SHUZ TOUCH Women Beige Solid Pumps""",Footwear > Shoes > Heels,Home > Fashion > Footwear > Pump & Heels,"[""http://www.myntra.com/heels/shuz-touch/shuz-touch-women-beige-solid-pumps/2273517/buy"", ""http://developer.myntra.com/style/2273517""]",www.myntra.com,shuz touch,beige/sand/tan
5abf3b5ebb71702347fd89bb,"""Priyaasi Gold-Plated Kundan Stone-Studded Maang Tikka""",Accessories > Jewellery > Head Jewellery,Home > Fashion > Fashion Accessories > Jewellery > Mang Tikka,"[""http://www.myntra.com/head-jewellery/priyaasi/priyaasi-gold-plated-kundan-stone-studded-maang-tikka/3451867/buy"", ""http://developer.myntra.com/style/3451867""]",www.myntra.com,priyaasi,yellow
5af1c7becbb28f3e7ff496a8,"""Palladio Rice Paper Warm Beige Oil Absorbing Blotting Tissues""",Personal Care > Makeup > Compact,Home > Beauty & Care > Beauty > Make Up > Face > Compacts,"[""http://www.myntra.com/compact/palladio/palladio-rice-paper-warm-beige-oil-absorbing-blotting-tissues/3006706/buy"", ""http://developer.myntra.com/style/3006706""]",www.myntra.com,palladio,
5ac77de3abc3bdc3409d9b76,"""eCraftIndia Beige Dial Round 38.1 cm Analogue Wall Clock""",Home > Home Decor > Clocks,Home > Home & Decor > Decor > Clocks > Wall Clocks,"[""http://www.myntra.com/clocks/ecraftindia/ecraftindia-beige-dial-round-381-cm-analogue-wall-clock/1679843/buy"", ""http://developer.myntra.com/style/1679843""]",www.myntra.com,ecraftindia,beige/sand/tan
5a04df56731d7427ffcb0d25,"""DOROTHY PERKINS Women Silver-Toned Solid Slim Heels""",Footwear > Shoes > Heels,Home > Fashion > Footwear > Pump & Heels,"[""http://www.myntra.com/heels/dorothy-perkins/dorothy-perkins-women-silver-toned-solid-slim-heels/2210924/buy"", ""http://developer.myntra.com/style/2210924""]",www.myntra.com,dorothy perkins,silver
5ab57614c407756c0102c7b4,"""Sweet Dreams Peach-Coloured Solid Nightdress with Printed Robe 2713A7CC""",Apparel > Loungewear and Nightwear > Nightdress,Home > Fashion > Lingerie > Loungewear and Nightwear,"[""http://www.myntra.com/nightdress/sweet-dreams/sweet-dreams-peach-coloured-solid-nightdress-with-printed-robe-2713a7cc/2509439/buy"", ""http://developer.myntra.com/style/2509439""]",www.myntra.com,sweet dreams,pink
